GBP-IRR ratio,date,date(shamsi)
"382,743",5/26/2022,1401/03/05
"215,820",5/27/2020,1399/03/07
"332,290",5/27/2021,1400/03/06
"636,290",5/27/2023,1402/03/06
"215,820",5/28/2020,1399/03/08
"386,170",5/28/2022,1401/03/07
"640,300",5/28/2023,1402/03/07
"343,300",5/29/2021,1400/03/08
"390,320",5/29/2022,1401/03/08
"637,120",5/29/2023,1402/03/08
"200,960",5/3/2020,1399/02/14
"309,650",5/3/2021,1400/02/13
"677,280",5/3/2023,1402/02/13
"217,700",5/30/2020,1399/03/10
"345,340",5/30/2021,1400/03/09
"390,610",5/30/2022,1401/03/09
"630,970",5/30/2023,1402/03/09
"219,690",5/31/2020,1399/03/11
"348,190",5/31/2021,1400/03/10
"393,640",5/31/2022,1401/03/10
"640,600",5/31/2023,1402/03/10
"201,370",5/4/2020,1399/02/15
"677,280",5/4/2023,1402/02/14
"199,720",5/5/2020,1399/02/16
"304,580",5/5/2021,1400/02/15
"351,710",5/5/2022,1401/02/15
"201,880",5/6/2020,1399/02/17
"304,580",5/6/2021,1400/02/16
"659,310",5/6/2023,1402/02/16
"201,880",5/7/2020,1399/02/18
"350,080",5/7/2022,1401/02/17
"677,740",5/7/2023,1402/02/17
"305,650",5/8/2021,1400/02/18
"351,360",5/8/2022,1401/02/18
"669,540",5/8/2023,1402/02/18
"205,090",5/9/2020,1399/02/20
"316,170",5/9/2021,1400/02/19
"357,750",5/9/2022,1401/02/19
"667,750",5/9/2023,1402/02/19
"222,570",6/1/2020,1399/03/12
"344,850",6/1/2021,1400/03/11
"392,580",6/1/2022,1401/03/11
"640,600",6/1/2023,1402/03/11
"228,150",6/10/2020,1399/03/21
"340,330",6/10/2021,1400/03/20
"591,090",6/10/2023,1402/03/20
"228,150",6/11/2020,1399/03/22
"405,640",6/11/2022,1401/03/21
"602,150",6/11/2023,1402/03/21
"343,050",6/12/2021,1400/03/22
"397,490",6/12/2022,1401/03/22
"629,560",6/12/2023,1402/03/22
"225,520",6/13/2020,1399/03/24
"342,790",6/13/2021,1400/03/23
"386,460",6/13/2022,1401/03/23
"620,550",6/13/2023,1402/03/23
"230,030",6/14/2020,1399/03/25
"343,360",6/14/2021,1400/03/24
"380,740",6/14/2022,1401/03/24
"619,650",6/14/2023,1402/03/24
"234,040",6/15/2020,1399/03/26
"345,710",6/15/2021,1400/03/25
"386,460",6/15/2022,1401/03/25
"619,650",6/15/2023,1402/03/25
"234,040",6/16/2020,1399/03/27
"345,550",6/16/2021,1400/03/26
"386,460",6/16/2022,1401/03/26
"345,550",6/17/2021,1400/03/27
"631,300",6/17/2023,1402/03/27
"235,820",6/18/2020,1399/03/29
"387,190",6/18/2022,1401/03/28
"623,770",6/18/2023,1402/03/28
"335,260",6/19/2021,1400/03/29
"388,390",6/19/2022,1401/03/29
"623,730",6/19/2023,1402/03/29
"223,079",6/2/2020,1399/03/13
"338,970",6/2/2021,1400/03/12
"392,580",6/2/2022,1401/03/12
"241,140",6/20/2020,1399/03/31
"339,900",6/20/2021,1400/03/30
"389,310",6/20/2022,1401/03/30
"619,520",6/20/2023,1402/03/30
"246,580",6/21/2020,1399/04/01
"342,230",6/21/2021,1400/03/31
"393,470",6/21/2022,1401/03/31
"633,680",6/21/2023,1402/03/31
"252,240",6/22/2020,1399/04/02
"342,180",6/22/2021,1400/04/01
"389,190",6/22/2022,1401/04/01
"633,680",6/22/2023,1402/04/01
"242,250",6/23/2020,1399/04/03
"341,050",6/23/2021,1400/04/02
"389,190",6/23/2022,1401/04/02
"238,610",6/24/2020,1399/04/04
"341,050",6/24/2021,1400/04/03
"635,130",6/24/2023,1402/04/03
"238,610",6/25/2020,1399/04/05
"384,770",6/25/2022,1401/04/04
"633,200",6/25/2023,1402/04/04
"347,260",6/26/2021,1400/04/05
"375,540",6/26/2022,1401/04/05
"628,430",6/26/2023,1402/04/05
"249,890",6/27/2020,1399/04/07
"347,220",6/27/2021,1400/04/06
"374,450",6/27/2022,1401/04/06
"622,970",6/27/2023,1402/04/06
"248,320",6/28/2020,1399/04/08
"350,080",6/28/2021,1400/04/07
"377,820",6/28/2022,1401/04/07
"622,970",6/28/2023,1402/04/07
"254,750",6/29/2020,1399/04/09
"356,160",6/29/2021,1400/04/08
"388,130",6/29/2022,1401/04/08
"338,970",6/3/2021,1400/03/13
"633,050",6/3/2023,1402/03/13
"256,810",6/30/2020,1399/04/10
"351,980",6/30/2021,1400/04/09
"388,130",6/30/2022,1401/04/09
"224,390",6/6/2020,1399/03/17
"399,800",6/6/2022,1401/03/16
"617,410",6/6/2023,1402/03/16
"223,790",6/7/2020,1399/03/18
"341,770",6/7/2021,1400/03/17
"397,780",6/7/2022,1401/03/17
"615,730",6/7/2023,1402/03/17
"227,010",6/8/2020,1399/03/19
"343,880",6/8/2021,1400/03/18
"401,510",6/8/2022,1401/03/18
"615,730",6/8/2023,1402/03/18
"229,970",6/9/2020,1399/03/20
"340,330",6/9/2021,1400/03/19
"401,510",6/9/2022,1401/03/19
"260,280",7/1/2020,1399/04/11
"351,980",7/1/2021,1400/04/10
"634,450",7/1/2023,1402/04/10
"352,060",7/10/2021,1400/04/19
"634,160",7/10/2023,1402/04/19
"286,610",7/11/2020,1399/04/21
"351,460",7/11/2021,1400/04/20
"376,320",7/11/2022,1401/04/20
"640,100",7/11/2023,1402/04/20
"295,570",7/12/2020,1399/04/22
"345,000",7/12/2021,1400/04/21
"376,860",7/12/2022,1401/04/21
"643,680",7/12/2023,1402/04/21
"296,250",7/13/2020,1399/04/23
"343,620",7/13/2021,1400/04/22
"379,430",7/13/2022,1401/04/22
"643,680",7/13/2023,1402/04/22
"301,230",7/14/2020,1399/04/24
"345,060",7/14/2021,1400/04/23
"379,430",7/14/2022,1401/04/23
"302,900",7/15/2020,1399/04/25
"345,060",7/15/2021,1400/04/24
"633,360",7/15/2023,1402/04/24
"302,900",7/16/2020,1399/04/26
"381,000",7/16/2022,1401/04/25
"640,120",7/16/2023,1402/04/25
"340,470",7/17/2021,1400/04/26
"381,000",7/17/2022,1401/04/26
"636,820",7/17/2023,1402/04/26
"308,640",7/18/2020,1399/04/28
"337,100",7/18/2021,1400/04/27
"625,590",7/18/2023,1402/04/27
"289,700",7/19/2020,1399/04/29
"336,100",7/19/2021,1400/04/28
"380,950",7/19/2022,1401/04/28
"626,550",7/19/2023,1402/04/28
"264,425",7/2/2020,1399/04/12
"389,260",7/2/2022,1401/04/11
"638,740",7/2/2023,1402/04/11
"279,160",7/20/2020,1399/04/30
"336,100",7/20/2021,1400/04/29
"380,770",7/20/2022,1401/04/29
"626,550",7/20/2023,1402/04/29
"275,950",7/21/2020,1399/04/31
"380,770",7/21/2022,1401/04/30
"278,690",7/22/2020,1399/05/01
"341,450",7/22/2021,1400/04/31
"621,370",7/22/2023,1402/04/31
"278,690",7/23/2020,1399/05/02
"384,640",7/23/2022,1401/05/01
"624,910",7/23/2023,1402/05/01
"343,230",7/24/2021,1400/05/02
"383,500",7/24/2022,1401/05/02
"627,530",7/24/2023,1402/05/02
"297,120",7/25/2020,1399/05/04
"348,780",7/25/2021,1400/05/03
"384,560",7/25/2022,1401/05/03
"633,190",7/25/2023,1402/05/03
"301,530",7/26/2020,1399/05/05
"351,710",7/26/2021,1400/05/04
"385,330",7/26/2022,1401/05/04
"631,830",7/26/2023,1402/05/04
"303,670",7/27/2020,1399/05/06
"357,360",7/27/2021,1400/05/05
"386,640",7/27/2022,1401/05/05
"304,400",7/28/2020,1399/05/07
"357,360",7/28/2021,1400/05/06
"386,640",7/28/2022,1401/05/06
"307,060",7/29/2020,1399/05/08
"627,280",7/29/2023,1402/05/07
"352,270",7/3/2021,1400/04/12
"385,480",7/3/2022,1401/04/12
"639,350",7/3/2023,1402/04/12
"307,060",7/30/2020,1399/05/09
"387,110",7/30/2022,1401/05/08
"634,380",7/30/2023,1402/05/08
"356,640",7/31/2021,1400/05/09
"389,370",7/31/2022,1401/05/09
"641,430",7/31/2023,1402/05/09
"278,780",7/4/2020,1399/04/14
"350,330",7/4/2021,1400/04/13
"374,210",7/4/2022,1401/04/13
"639,270",7/4/2023,1402/04/13
"272,450",7/5/2020,1399/04/15
"350,730",7/5/2021,1400/04/14
"375,570",7/5/2022,1401/04/14
"645,320",7/5/2023,1402/04/14
"278,590",7/6/2020,1399/04/16
"350,010",7/6/2021,1400/04/15
"374,350",7/6/2022,1401/04/15
"645,320",7/6/2023,1402/04/15
"282,930",7/7/2020,1399/04/17
"348,700",7/7/2021,1400/04/16
"374,350",7/7/2022,1401/04/16
"284,510",7/8/2020,1399/04/18
"349,840",7/8/2021,1400/04/17
"641,710",7/8/2023,1402/04/17
"284,510",7/9/2020,1399/04/19
"378,810",7/9/2022,1401/04/18
"640,280",7/9/2023,1402/04/18
"304,400",8/1/2020,1399/05/11
"357,040",8/1/2021,1400/05/10
"386,830",8/1/2022,1401/05/10
"641,430",8/1/2023,1402/05/10
"140,730",8/10/2019,1398/05/19
"291,510",8/10/2020,1399/05/20
"371,410",8/10/2021,1400/05/19
"381,390",8/10/2022,1401/05/19
"634,080",8/10/2023,1402/05/19
"141,105",8/11/2019,1398/05/20
"290,880",8/11/2020,1399/05/21
"368,730",8/11/2021,1400/05/20
"381,390",8/11/2022,1401/05/20
"294,420",8/12/2020,1399/05/22
"368,730",8/12/2021,1400/05/21
"623,920",8/12/2023,1402/05/21
"140,870",8/13/2019,1398/05/22
"294,420",8/13/2020,1399/05/23
"368,030",8/13/2022,1401/05/22
"625,650",8/13/2023,1402/05/22
"141,720",8/14/2019,1398/05/23
"375,540",8/14/2021,1400/05/23
"364,690",8/14/2022,1401/05/23
"627,040",8/14/2023,1402/05/23
"142,756",8/15/2019,1398/05/24
"294,290",8/15/2020,1399/05/25
"375,190",8/15/2021,1400/05/24
"365,640",8/15/2022,1401/05/24
"623,510",8/15/2023,1402/05/24
"304,300",8/16/2020,1399/05/26
"372,390",8/16/2021,1400/05/25
"359,050",8/16/2022,1401/05/25
"624,560",8/16/2023,1402/05/25
"142,420",8/17/2019,1398/05/26
"301,140",8/17/2020,1399/05/27
"372,390",8/17/2021,1400/05/26
"362,380",8/17/2022,1401/05/26
"624,560",8/17/2023,1402/05/26
"299,770",8/18/2020,1399/05/28
"362,380",8/18/2022,1401/05/27
"304,020",8/19/2020,1399/05/29
"621,230",8/19/2023,1402/05/28
"304,010",8/2/2020,1399/05/12
"360,000",8/2/2021,1400/05/11
"377,910",8/2/2022,1401/05/11
"640,367",8/2/2023,1402/05/11
"304,020",8/20/2020,1399/05/30
"343,830",8/20/2022,1401/05/29
"376,520",8/21/2021,1400/05/30
"345,530",8/21/2022,1401/05/30
"300,840",8/22/2020,1399/06/01
"381,840",8/22/2021,1400/05/31
"348,240",8/22/2022,1401/05/31
"302,640",8/23/2020,1399/06/02
"381,980",8/23/2021,1400/06/01
"343,560",8/23/2022,1401/06/01
"308,280",8/24/2020,1399/06/03
"384,560",8/24/2021,1400/06/02
"351,850",8/24/2022,1401/06/02
"136,240",8/25/2019,1398/06/03
"310,870",8/25/2020,1399/06/04
"385,690",8/25/2021,1400/06/03
"351,850",8/25/2022,1401/06/03
"137,900",8/26/2019,1398/06/04
"309,500",8/26/2020,1399/06/05
"385,690",8/26/2021,1400/06/04
"138,230",8/27/2019,1398/06/05
"309,500",8/27/2020,1399/06/06
"347,470",8/27/2022,1401/06/05
"138,770",8/28/2019,1398/06/06
"382,720",8/28/2021,1400/06/06
"347,680",8/28/2022,1401/06/06
"139,445",8/29/2019,1398/06/07
"374,970",8/29/2021,1400/06/07
"348,410",8/29/2022,1401/06/07
"304,580",8/3/2020,1399/05/13
"358,770",8/3/2021,1400/05/12
"380,740",8/3/2022,1401/05/12
"635,080",8/3/2023,1402/05/12
"380,090",8/30/2021,1400/06/08
"349,180",8/30/2022,1401/06/08
"139,020",8/31/2019,1398/06/09
"328,100",8/31/2020,1399/06/10
"375,510",8/31/2021,1400/06/09
"345,930",8/31/2022,1401/06/09
"309,500",8/4/2020,1399/05/14
"359,320",8/4/2021,1400/05/13
"380,740",8/4/2022,1401/05/13
"311,960",8/5/2020,1399/05/15
"359,320",8/5/2021,1400/05/14
"632,880",8/5/2023,1402/05/14
"311,960",8/6/2020,1399/05/16
"380,960",8/6/2022,1401/05/15
"634,050",8/6/2023,1402/05/15
"358,840",8/7/2021,1400/05/16
"628,260",8/7/2023,1402/05/16
"361,770",8/8/2021,1400/05/17
"630,050",8/8/2023,1402/05/17
"288,960",8/9/2020,1399/05/19
"366,940",8/9/2021,1400/05/18
"381,820",8/9/2022,1401/05/18
"634,080",8/9/2023,1402/05/18
"137,670",9/1/2019,1398/06/10
"325,260",9/1/2020,1399/06/11
"378,730",9/1/2021,1400/06/10
"345,930",9/1/2022,1401/06/10
"328,550",9/10/2020,1399/06/20
"355,670",9/10/2022,1401/06/19
"144,030",9/11/2019,1398/06/20
"379,490",9/11/2021,1400/06/20
"362,770",9/11/2022,1401/06/20
"142,556",9/12/2019,1398/06/21
"344,010",9/12/2020,1399/06/22
"380,840",9/12/2021,1400/06/21
"365,420",9/12/2022,1401/06/21
"341,140",9/13/2020,1399/06/23
"385,410",9/13/2021,1400/06/22
"363,180",9/13/2022,1401/06/22
"142,060",9/14/2019,1398/06/23
"346,150",9/14/2020,1399/06/24
"380,550",9/14/2021,1400/06/23
"362,580",9/14/2022,1401/06/23
"142,980",9/15/2019,1398/06/24
"350,090",9/15/2020,1399/06/25
"382,040",9/15/2021,1400/06/24
"362,580",9/15/2022,1401/06/24
"144,270",9/16/2019,1398/06/25
"346,860",9/16/2020,1399/06/26
"382,040",9/16/2021,1400/06/25
"144,830",9/17/2019,1398/06/26
"346,860",9/17/2020,1399/06/27
"144,370",9/18/2019,1398/06/27
"379,690",9/18/2021,1400/06/27
"361,090",9/18/2022,1401/06/27
"144,375",9/19/2019,1398/06/28
"352,520",9/19/2020,1399/06/29
"377,840",9/19/2021,1400/06/28
"361,680",9/19/2022,1401/06/28
"138,790",9/2/2019,1398/06/11
"322,840",9/2/2020,1399/06/12
"378,730",9/2/2021,1400/06/11
"348,440",9/20/2020,1399/06/30
"376,580",9/20/2021,1400/06/29
"359,270",9/20/2022,1401/06/29
"143,170",9/21/2019,1398/06/30
"350,720",9/21/2020,1399/06/31
"376,580",9/21/2021,1400/06/30
"357,760",9/21/2022,1401/06/30
"142,260",9/22/2019,1398/06/31
"358,970",9/22/2020,1399/07/01
"378,710",9/22/2021,1400/06/31
"357,760",9/22/2022,1401/06/31
"143,870",9/23/2019,1398/07/01
"367,260",9/23/2020,1399/07/02
"382,030",9/23/2021,1400/07/01
"142,130",9/24/2019,1398/07/02
"367,260",9/24/2020,1399/07/03
"344,540",9/24/2022,1401/07/02
"142,160",9/25/2019,1398/07/03
"379,270",9/25/2021,1400/07/03
"141,999",9/26/2019,1398/07/04
"371,880",9/26/2020,1399/07/05
"380,920",9/26/2021,1400/07/04
"338,140",9/26/2022,1401/07/04
"380,840",9/27/2020,1399/07/06
"141,830",9/28/2019,1398/07/06
"378,120",9/28/2020,1399/07/07
"382,560",9/28/2021,1400/07/06
"348,900",9/28/2022,1401/07/06
"143,360",9/29/2019,1398/07/07
"385,060",9/29/2020,1399/07/08
"381,930",9/29/2021,1400/07/07
"348,900",9/29/2022,1401/07/07
"139,570",9/3/2019,1398/06/12
"322,840",9/3/2020,1399/06/13
"348,660",9/3/2022,1401/06/12
"141,870",9/30/2019,1398/07/08
"387,390",9/30/2020,1399/07/09
"386,150",9/30/2021,1400/07/08
"142,030",9/4/2019,1398/06/13
"377,920",9/4/2021,1400/06/13
"346,400",9/4/2022,1401/06/13
"142,812",9/5/2019,1398/06/14
"328,040",9/5/2020,1399/06/15
"377,390",9/5/2021,1400/06/14
"349,000",9/5/2022,1401/06/14
"325,340",9/6/2020,1399/06/16
"379,770",9/6/2021,1400/06/15
"346,440",9/6/2022,1401/06/15
"144,080",9/7/2019,1398/06/16
"327,860",9/7/2020,1399/06/17
"383,030",9/7/2021,1400/06/16
"349,120",9/7/2022,1401/06/16
"144,510",9/8/2019,1398/06/17
"331,930",9/8/2020,1399/06/18
"387,470",9/8/2021,1400/06/17
"349,120",9/8/2022,1401/06/17
"328,550",9/9/2020,1399/06/19
"387,470",9/9/2021,1400/06/18
