GBP-IRR ratio,date,date(shamsi)
"145,510",10/28/2019,1398/08/06
"375,090",10/28/2020,1399/08/07
"380,560",10/28/2021,1400/08/06
"375,090",10/29/2020,1399/08/08
"383,020",10/29/2022,1401/08/07
"142,790",10/3/2019,1398/07/11
"369,340",10/3/2020,1399/07/12
"385,320",10/3/2021,1400/07/11
"380,090",10/3/2022,1401/07/11
"146,710",10/30/2019,1398/08/08
"378,590",10/30/2021,1400/08/08
"382,060",10/30/2022,1401/08/08
"146,929",10/31/2019,1398/08/09
"373,010",10/31/2020,1399/08/10
"377,450",10/31/2021,1400/08/09
"383,640",10/31/2022,1401/08/09
"382,020",10/4/2020,1399/07/13
"385,320",10/4/2021,1400/07/12
"380,090",10/4/2022,1401/07/12
"142,160",10/5/2019,1398/07/13
"383,490",10/5/2020,1399/07/14
"142,070",10/6/2019,1398/07/14
"383,710",10/6/2020,1399/07/15
"381,510",10/6/2021,1400/07/14
"366,010",10/6/2022,1401/07/14
"141,280",10/7/2019,1398/07/15
"383,710",10/7/2020,1399/07/16
"141,790",10/8/2019,1398/07/16
"358,380",10/8/2022,1401/07/16
"141,560",10/9/2019,1398/07/17
"377,700",10/9/2021,1400/07/17
"358,960",10/9/2022,1401/07/17
"388,430",11/1/2020,1399/08/11
"376,760",11/1/2021,1400/08/10
"396,300",11/1/2022,1401/08/10
"148,750",11/10/2019,1398/08/19
"363,250",11/10/2020,1399/08/20
"382,490",11/10/2021,1400/08/19
"400,300",11/10/2022,1401/08/19
"148,780",11/11/2019,1398/08/20
"361,700",11/11/2020,1399/08/21
"382,490",11/11/2021,1400/08/20
"152,030",11/12/2019,1398/08/21
"361,700",11/12/2020,1399/08/22
"419,400",11/12/2022,1401/08/21
"152,170",11/13/2019,1398/08/22
"384,040",11/13/2021,1400/08/22
"419,660",11/13/2022,1401/08/22
"157,003",11/14/2019,1398/08/23
"345,900",11/14/2020,1399/08/24
"378,160",11/14/2021,1400/08/23
"422,730",11/14/2022,1401/08/23
"346,100",11/15/2020,1399/08/25
"379,070",11/15/2021,1400/08/24
"421,370",11/15/2022,1401/08/24
"158,950",11/16/2019,1398/08/25
"351,540",11/16/2020,1399/08/26
"383,200",11/16/2021,1400/08/25
"412,690",11/16/2022,1401/08/25
"159,000",11/17/2019,1398/08/26
"348,550",11/17/2020,1399/08/27
"380,510",11/17/2021,1400/08/26
"412,690",11/17/2022,1401/08/26
"159,300",11/18/2019,1398/08/27
"347,270",11/18/2020,1399/08/28
"380,510",11/18/2021,1400/08/27
"154,520",11/19/2019,1398/08/28
"347,270",11/19/2020,1399/08/29
"419,740",11/19/2022,1401/08/28
"148,160",11/2/2019,1398/08/11
"388,430",11/2/2020,1399/08/12
"382,590",11/2/2021,1400/08/11
"394,200",11/2/2022,1401/08/11
"155,030",11/20/2019,1398/08/29
"381,900",11/20/2021,1400/08/29
"420,740",11/20/2022,1401/08/29
"154,402",11/21/2019,1398/08/30
"345,670",11/21/2020,1399/09/01
"382,220",11/21/2021,1400/08/30
"423,300",11/21/2022,1401/08/30
"347,070",11/22/2020,1399/09/02
"383,840",11/22/2021,1400/09/01
"428,320",11/22/2022,1401/09/01
"157,880",11/23/2019,1398/09/02
"341,040",11/23/2020,1399/09/03
"389,770",11/23/2021,1400/09/02
"429,180",11/23/2022,1401/09/02
"161,190",11/24/2019,1398/09/03
"336,430",11/24/2020,1399/09/04
"386,960",11/24/2021,1400/09/03
"429,180",11/24/2022,1401/09/03
"159,020",11/25/2019,1398/09/04
"333,140",11/25/2020,1399/09/05
"386,960",11/25/2021,1400/09/04
"162,790",11/26/2019,1398/09/05
"333,140",11/26/2020,1399/09/06
"435,580",11/26/2022,1401/09/05
"163,300",11/27/2019,1398/09/06
"394,470",11/27/2021,1400/09/06
"432,590",11/27/2022,1401/09/06
"163,470",11/28/2019,1398/09/07
"337,820",11/28/2020,1399/09/08
"392,990",11/28/2021,1400/09/07
"429,870",11/28/2022,1401/09/07
"342,860",11/29/2020,1399/09/09
"386,020",11/29/2021,1400/09/08
"425,870",11/29/2022,1401/09/08
"147,430",11/3/2019,1398/08/12
"375,640",11/3/2021,1400/08/12
"394,200",11/3/2022,1401/08/12
"166,320",11/30/2019,1398/09/09
"355,800",11/30/2020,1399/09/10
"390,150",11/30/2021,1400/09/09
"438,080",11/30/2022,1401/09/09
"147,810",11/4/2019,1398/08/13
"367,700",11/4/2020,1399/08/14
"375,640",11/4/2021,1400/08/13
"147,691",11/5/2019,1398/08/14
"351,440",11/5/2020,1399/08/15
"412,650",11/5/2022,1401/08/14
"379,190",11/6/2021,1400/08/15
"414,880",11/6/2022,1401/08/15
"146,775",11/7/2019,1398/08/16
"346,090",11/7/2020,1399/08/17
"381,250",11/7/2021,1400/08/16
"418,570",11/7/2022,1401/08/16
"362,490",11/8/2020,1399/08/18
"381,360",11/8/2021,1400/08/17
"404,060",11/8/2022,1401/08/17
"146,950",11/9/2019,1398/08/18
"375,110",11/9/2020,1399/08/19
"384,100",11/9/2021,1400/08/18
"400,300",11/9/2022,1401/08/18
"164,300",12/1/2019,1398/09/10
"347,950",12/1/2020,1399/09/11
"392,150",12/1/2021,1400/09/10
"438,080",12/1/2022,1401/09/10
"173,490",12/10/2019,1398/09/19
"350,200",12/10/2020,1399/09/20
"457,220",12/10/2022,1401/09/19
"168,630",12/11/2019,1398/09/20
"401,590",12/11/2021,1400/09/20
"465,080",12/11/2022,1401/09/20
"169,014",12/12/2019,1398/09/21
"345,260",12/12/2020,1399/09/22
"395,340",12/12/2021,1400/09/21
"476,960",12/12/2022,1401/09/21
"345,100",12/13/2020,1399/09/23
"401,320",12/13/2021,1400/09/22
"473,630",12/13/2022,1401/09/22
"168,440",12/14/2019,1398/09/23
"346,950",12/14/2020,1399/09/24
"399,870",12/14/2021,1400/09/23
"471,500",12/14/2022,1401/09/23
"170,810",12/15/2019,1398/09/24
"344,060",12/15/2020,1399/09/25
"401,550",12/15/2021,1400/09/24
"471,500",12/15/2022,1401/09/24
"172,500",12/16/2019,1398/09/25
"347,260",12/16/2020,1399/09/26
"401,550",12/16/2021,1400/09/25
"169,640",12/17/2019,1398/09/26
"347,260",12/17/2020,1399/09/27
"477,350",12/17/2022,1401/09/26
"171,140",12/18/2019,1398/09/27
"397,670",12/18/2021,1400/09/27
"482,480",12/18/2022,1401/09/27
"172,348",12/19/2019,1398/09/28
"340,960",12/19/2020,1399/09/29
"400,110",12/19/2021,1400/09/28
"474,490",12/19/2022,1401/09/28
"166,850",12/2/2019,1398/09/11
"354,190",12/2/2020,1399/09/12
"392,150",12/2/2021,1400/09/11
"341,810",12/20/2020,1399/09/30
"401,520",12/20/2021,1400/09/29
"478,970",12/20/2022,1401/09/29
"172,080",12/21/2019,1398/09/30
"342,630",12/21/2020,1399/10/01
"403,010",12/21/2021,1400/09/30
"479,320",12/21/2022,1401/09/30
"170,830",12/22/2019,1398/10/01
"346,130",12/22/2020,1399/10/02
"405,070",12/22/2021,1400/10/01
"479,320",12/22/2022,1401/10/01
"170,770",12/23/2019,1398/10/02
"345,760",12/23/2020,1399/10/03
"405,070",12/23/2021,1400/10/02
"171,170",12/24/2019,1398/10/03
"345,760",12/24/2020,1399/10/04
"494,210",12/24/2022,1401/10/03
